incometax, 0, 0
incometax, 12570, 0.2
incometax, 50270, 0.4
incometax, 125140, 0.45
nationalinsurance, 0, 0
nationalinsurance, 12570, 0.12
nationalinsurance, 50270, 0.02
pension, 0, 0.074
pension, 32136, 0.086
pension, 43259, 0.096
pension, 51293, 0.102
pension, 67980, 0.113
pension, 92698, 0.117
parking, 10, -1
